考試標題,科目,題型,題號,題目,選項A,選項B,選項C,選項D,答案
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,14,未設分公司之 X公司有自然人董事 5 人，自然人監察人 2 人，經理人3 人，持股過半之股東 1 人， 持股15%之股東2 人，持股 5%之股東2 人，持股 1%之股東1 人。依現行公司法之規 定，上述有多少人應申報其持股等資訊？,11 人,13 人,15 人,16 人,D
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,15,非公開發行之 X股份有限公司（下稱 X公司）董事長甲之胞弟乙，欲自行創業成立一文創公 司，X公司遂轉投資其實收股本 40%之金額予乙成立之 Y公司。甲之好友丙擔任負責人之 Z公 司，有短期融通資金之需求，X公司遂再貸予其淨值 40%之金額予Z公司。甲之妻子丁所經營 之W 公司，因向銀行借款需徵提保證人，X 公司遂變更章程允許公司得為保證行為。請問：依 現行公司法之規定，此時X公司尚可為W 公司作保之額度上限為何？,X公司淨值之60%,X公司實收股本之 60%,現行公司法無保證額度上限之明文規定,X公司已不得再為他人保證,A
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,16,甲、乙、丙、丁、戊五位大學同學畢業多年後，決定共同創業成立 X 公司，五人約定各出資五分 之一，以各持有公司已發行股份總數的五分之一。依現行公司法之規定，關於X公司董事的選 舉，下列敘述何者錯誤？,X公司可依章程選舉董事三人，甲、乙、丙、丁、戊五位股東都可被選舉為董事,X公司可不設董事會，在章程中規定僅由股東會選出董事一人，由其擔任董事長並行使董事,X公司也可設董事會，並依現行法規定，得由甲、乙、丙、丁、戊五位股東直接選出董事,若甲的配偶辛具備財務專長，辛經股東會選舉後也可以當選為董事,C
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,17,關於法院選任股份有限公司臨時管理人之敘述，下列何者正確？,若董事會非不能而只是不為行使職權，則法院不得選任臨時管理人,除利害關係人外，檢察官亦得聲請法院選任臨時管理人,臨時管理人只能代行董事會職權，不得代行董事長職權,臨時管理人於必要時，得為不利於公司之行為,C
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,18,依公司法規定，相關私募公司債的敘述，下列何者正確？,所有公司均無須向證券管理機關辦理,私募公司債者，不受公司法第 249 條及第250 條之限制,若由金融機構應募該私募公司債時，則應募人受限不得超過 35人,私募者，不以上市櫃等公開發行公司為限,D
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,19,依公司法規定，相關發行新股的敘述，下列何者正確？,所有公司均應公開發行,可洽由特定人或公開發行擇一,所有公司均應保留員工承購，不超過發行新股 5%,所有公司均得不保留原有股東優先承購新股,A
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,20,依公司法規定，利害關係人得向下列何者，聲請公司重整？,主管機關,勞動部,法院,金融監督管理委員會,B
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,21,依公司法規定，下列何者非股份有限公司之解散事由？,章程所定解散事由,公司所營事業不能成就,有記名股票之法人股東不滿二人,與他公司合併而消滅者,D
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,22,依公司法相關公司清算規定，下列何者敘述有誤？,以董事為清算人,以監察人為清算人,章程得另明定清算人,股東會得另選定清算人,A
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,23,股份有限公司之間，有如下關係：X公司持有 Y公司有表決權股份百分之四十，甲為 X公司持 有Y公司有表決權股份百分之十二，而 Y公司持有 X 公司有表決權股份百分之三十；Y公司設 置董事 5 人，Z公司設置董事 9 人，Y、Z兩公司之董事有 4 人相同。試問下列敘述，何者正 確？,X公司為 Y公司之控制公司,X公司為Z公司之控制公司,X公司與Y公司為相互投資公司,Y公司與Z公司推定為有控制與從屬關係,B
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,24,依現行證交法之規定，上市公司之董事、監察人、經理人或持有公司股份超過股份總額百分之十 之股東，其股票之轉讓方式，下列敘述何者錯誤？,自申報主管機關生效日後，向非特定人為之,自向主管機關申報之日起三日後，於證券集中交易市場賣出,於向主管機關申報之日起三日內，向符合主管機關所定條件之特定人為之,"每一交易日轉讓股數未超過 100,000 股者，免予申報",B
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,25,已依證交法公開發行股票之公司，募集無擔保公司債時，其發行總額，不得逾全部資產減去全部 負債的餘額比例是多少？,1/2,1/3,1/4,1/5,B
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,26,X公司為一家從事貨櫃運輸的上市公司。最近 X公司剛向主管機關申報第一季財務報告，由於 該公司營運不佳，導致該公司之董事長與總經理皆發生變動。依證券交易法之規定，下列敘述何 者正確？,X公司第一季財務報告應於每會計年度終了後三個月內，公告並向主管機關申報,X公司所公告申報之第一季財務報告應經會計師查核簽證、董事會通過及監察人承認,X公司董事長與總經理發生變動，應於事實發生之日起二日內公告並向主管機關申報,X公司董事長與總經理發生變動，應於事實發生之日起三日內公告並向主管機關申報,D
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,27,甲得知 X上櫃公司獲利極佳，故進而取得 X上櫃公司 4%的股份，甲又聽說我國證券交易法有 「大量取得股權之申報」制度。依現行法規定，下列敘述何者錯誤？,我國大量取得股權申報之門檻為超過任一公開發行公司已發行股份總額 5%之股份,除了股票以外的有價證券，皆不受到此一制度之規範,參照司法院釋字第586 號解釋，證券交易法第 43 條之 1 第1 項的「共同取得」，應以意思,此一大量取得股權之申報規定，只限於自證券市場取得，公開收購則不在此限,C
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,28,我國學者間所稱證券市場上的沖洗買賣，係指下列何種行為？,意圖造成集中交易市場某種有價證券交易活絡之表象，自行或以他人名義，連續委託買賣或,意圖抬高或壓低集中交易市場某種有價證券之交易價格，自行或以他人名義，對該有價證,意圖抬高或壓低集中交易市場某種有價證券之交易價格，與他人通謀，以約定價格於自己出,股市名嘴推薦投資人購買其已事先大量買入股票，以達倒貨出脫目的,C
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,1,試問公司年度盈餘分派員工酬勞，公司法與證券交易法的規定分別為何？,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,2,請依民國112年證交法所修訂部分，說明相關獨立董事不得單獨行使監察人的職權為何？,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,3,請說明股東會與公司債債權人會議，公司法上相關決議成立之不同何在。 113 年第 3 次,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,1,假設股票甲和乙的風險與成長類似，已知股票乙的合理本益比是 20，而股票甲和乙的每股盈餘 分別是 1 元與2 元，則股票甲的預估股價為：,$20,$40,$30,$10,A
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,2,我國於民國 94 年實施新制股價升降單位，有關其調整之理由，下列敘述何者為非？ I、提高市 場買賣價差，有助於股價連續性；II、提供投資人更多下單價位選擇；III、擴大股價升降單位， 與國外趨勢接軌,I、II,I、III,II、III,I、II、III 皆是,C
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,3,某股票之β係數為 0.8，明年將發放每股 2.1元股利，且每年股利均會成長 5%，若市場投資組合 要求報酬率為 14%，無風險利率為 4%，則該股票之股價應為多少元？,15 元,21 元,52.5 元,30 元,C
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,4,由甲和乙兩股票構成投資組合，甲股票占 40%，乙股票占 60%，甲股票的變異數為 0.3，乙股票 的變異數 0.4，甲和乙股票的共變數為 0.3，則此投資組合報酬的變異數為：,0.336,0.348,0.364,0.372,C
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,5,小嵐買進一股 60 元股票，同時買進該股票履約價格為 55 元之賣權，其權利金為 5 元，試問該 投資組合於到期日時，最大可能獲利為何？,5 元,10 元,15 元,沒有上限,B
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,6,甲股票的變異數為 0.04，乙股票的變異數是 0.09，甲和乙二股票的相關係數是 0.8，則兩股票的 共變數為：,0.048,0.0036,0.00288,0.06,A
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,7,若預期未來的市場利率將上升，則投資者很有可能採取下列哪一種決策？,出售國庫債券期貨,持有小麥期貨之長部位(Long Position),購買標準普爾500 指數期貨(S&P 500 Index Futures),持有國庫債券期貨之長部位,A
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,8,若某公司股價達到均衡時，其期望報酬率為 14%，報酬率標準差為 40%，又市場投資組合期望 報酬率為 12%，報酬率標準差為 30%，無風險利率為 2%。若資本資產定價模式(CAPM)成立， 則該公司股票報酬率與市場投資組合報酬率之相關係數為何？,0.67,0.75,0.8,0.9,D
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,9,股價指數期貨之契約規格中，其交割方式為何？,股票指數交割,指數交割,現金交割,股票交割,A
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,10,下列那一種股票較可能是價值型股票？,現金股息佔盈餘之比率偏低之股票,市價淨值比低之股票,本益比高於產業平均之股票,資產週轉率高的股票,C
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,11,某投資組合由 3 種債券構成，3 種債券之投資金額分別為 200 萬、300 萬、500 萬，其存續期間 依序為 6.5 年、5 年、4.2 年，則此投資組合存續期間約為多少年？,5.23 年,5.1 年,5.6 年,4.9 年,C
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,12,以下對於零息債券的馬考列(Macaulay)存續期間描述，何者為真？,等於債券到期日,等於債券到期日的一半,等於債券到期日除以到期殖利率,因為缺少利息，所以無法計算,B
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,13,賣出臺灣存託憑證之證券交易稅稅率為：,0%,0.1%,1.425%,3%,B
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,14,在弱式效率市場中，以下何者是有用的資訊？ I、K 線圖；II、P/E 比率；III、KD 值；IV、經濟 成長率,I、III,II、IV,I、IV,I、II、III,D
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,15,"一張零息債券的到期收益率為 5%，面值為 1,000 元。如果該債券在3 年後到期，則其今日售價 應大約為 __________。",863.8 元,996.9 元,"1,000 元","1,200 元",D
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,16,下列何種金融商品其交易不是在標準化的集中市場進行交易？,期貨,指數股票型基金(Exchange Traded Funds),開放型共同基金,股票,C
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,17,當價格在交易密集區完成整理，價格便在需求力道推進下，向上跳空突破頸線，形成缺口，稱 為：,突破缺口,逃逸缺口,竭盡缺口,多頭缺口,D
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,18,「資本市場線 (Capital Market Line)」是用來表示何種關係？,某證券變異數與市場投資組合變異數,證券期望報酬率與系統風險,某證券超額報酬率與市場投資組合超額報酬率,效率投資組合的預期報酬率與風險,A
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,19,某人利用過去的股價趨勢、交易量、與公開股票有關訊息來買賣股票，只賺取正常報酬並沒有異 常報酬，這個現象支持下列哪一個假說成立？,弱式效率市場假說,半強式效率市場假說,強式效率市場假說,無效率市場假說,A
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,20,X、Y 兩家公司的業務及規模類似，所發行的公司債之期限與票面利率也相同，但 X 債券的交 易量遠超過 Y 債券，價格也較高；則這兩種債券利率主要的差別為：,實質利率,通貨膨脹溢酬,到期日風險溢酬,流動性溢酬,C
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,21,下列何者對「本益比」及「股利殖利率 Dividend yield」之定義為正確？ 每股盈餘 每股股利,本益比 = ，股利殖利率 =,本益比 = ，股利殖利率 =,本益比 = ，股利殖利率 =,本益比 = ，股利殖利率 =,D
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,22,通常「相對強弱指標 (RSI)」與「乖離率 (Bias)」為多少時，技術分析會建議投資人買入？,RSI < 20、Bias < -5%,RSI < 50、Bias < -5%,RSI < 20、Bias < 5%,RSI > 80、Bias > 5%,B
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,23,當技術指標的快速線由上向下穿過慢速線時，隱含什麼意義？,價格將上漲,價格將下跌,交易量減少,牛皮盤局,B
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,24,利用下列符號來代表某股票於 t 期之價值： S 股票市價， P 買入賣權， C 買入買權， X 為選擇權履約價格； t t t 另外，以 r 代表無風險利率，到期日為 T，則下列關於賣買權評價公式何者最正確？ f S X,P + X = C + t,P + S = C +,P - X = C + t,P - X = C - t,B
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,25,有關依附於同一種商品、不同條件買權 (Call Options) 契約之敘述中，何者最正確？,履約價格愈低、到期日愈久，則權利金會愈高,履約價格愈高、到期日愈久，則權利金會愈高,履約價格愈低、到期日愈短，則權利金會愈高,履約價格愈高、到期日愈短，則權利金會愈高,D
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,26,貝他係數（Beta）是衡量 __________ 的指標。,公司特有風險,可分散風險,市場風險,獨特風險,A
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,27,公司特有風險也被稱為 __________ 和 __________。,系統性風險(Systematic risk)，可分散風險,系統性風險(Systematic risk)，不可分散風險,獨特風險(Unique risk)，不可分散風險,獨特風險(Unique risk)，可分散風險,D
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,28,根據托賓的(Tobin's)分離定理，投資組合選擇可以分為兩個獨立的任務，分別是 __________ 和 __________。,確定投資者設定的所有限制條件；識別符合投資者限制條件且提供最佳風險回報平衡的證券,確定投資者的風險厭惡程度；從符合投資者風險概況的行業組別中選擇證券,確定最優風險投資組合；根據投資者的風險厭惡程度，從國庫券和最優風險投資組合中構建,以上答案皆不正確,A
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,29,證券的貝他係數(Beta)的數值是 __________。,永遠為正,永遠為負,永遠介於正1 與負 1 之間,通常為正，但沒有特定的限制,
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,30,如果市場符合半強式效率假說，則下列何種分析會帶來超額報酬？,、,、,基本分析,選項(C)皆非,
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,31,若一年與兩年期到期公債的年利率是 6%和5%，則根據預期理論，市場對於一年後一年期公債 利率之預期是：,上漲,下跌,不確定,不變,
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,32,某公司之債券評等上升時，則？I、表示其違約風險下降；II、表示其違約風險上升；III、債券價 格會下降；IV、債券價格會上升,I、III,I、IV,II、III,II、IV,
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,33,永續債券(Consols)面額100 萬元，票面利率為 7%，若要求之報酬率為 5%，則該債券之價格 為？,"1,400,000 元","1,200,000 元","1,070,000 元","1,050,000 元",
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,34,下列何者屬掩護性買權策略（Covered Call）？,買入期貨及期貨買權,買入期貨及賣出期貨買權,賣出期貨及期貨買權,賣出期貨及買入期貨買權,
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,35,"假設目前臺灣證券交易所股價指數小型期貨(MTX)為20,000 點，則其1 口契約價值為新臺幣：","100,000 元","400,000 元","1,000,000 元","4,000,000 元",
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,1,假設 A 公司今年現金股利是 2 元，公司股利成長率固定為 6%，公司 β 值為 1.2，無風險利率為 5%，市場預期報酬率為 10%，試問該公司之投資人預期報酬率為多少？(5 分)而根據股利固定成 長模型該公司合理的股票價格是多少？(5分),,,,,A
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,2,若股市有兩股票 A 與 B，其預期報酬率與變異數如下: E(RA)=10%、E(RB)=16%、V(RA)=0.04、 V(RB)=0.16 ，若其共變異數 COV(RA RB)= -0.01，試問投資組合 P(各別投資資金 50%在股票A與 B)，請計算投資組合 P 之預期報酬率與變異數？(4 分) 請問投資人若要組合一最小變異數的投資 組合(Minimum-Variance Portfolio)，該投資組合內 A股票與B股票的持有比率分別為何呢？(6分),,,,,C
113 年第 3 次證券投資分析人員資格測驗試題,投資學,選擇題,3,"在資本資產定價模型 (Capital Asset Pricing Model, CAPM)中，若無風險利率為 8%，市場組合預期 報酬率為15%，A公司股票報酬變異數[ V(RA) ]是0.16，A公司股票報酬與市場組合報酬共變異數 [ COV(RA RM) ]是0.121，市場組合報酬變異數[ V(RM)]是0.11，則該A公司股票預期報酬率為多 少？ (10分) 113 年第 3 次",,,,,C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,1,"久久公司 X1 年度的營業收入為$2,000,000，營業利益為$400,000，變動營業成本及費用 $600,000，則X1 年度其營運槓桿度為：",1.8,2,2.5,3.5,A
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,2,"聯合公司 X6 年度流通在外認股證 20,000 張，每張可以$40 認購普通股1 股，聯合公司普通股 全年平均市價為$50，該公司全年流通在外普通股為 150,000 股，試問認股證對稀釋每股盈餘之 影響為：","無論計算基本每股盈餘或稀釋每股盈餘，均使分母增加 16,000股","在計算稀釋每股盈餘時，使分母增加 4,000 股",該認股證不具稀釋作用，故無影響,"在計算稀釋每股盈餘時，使分母增加 5,000 股",C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,3,在直接法下，下列何項不會出現在現金流量表上？,支付供應商之現金,從顧客收到之現金,折舊費用,出售設備所收到之現金,D
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,4,以下何者為潛在的盈餘管理技巧或行動？,估計轉投資的減損損失,決定在建工程的完工進度,估計呆帳費用的金額,選項(C)皆可能,B
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,5,"地靈公司的機器設備會計項目餘額於 X7 年增加$500,000，相關的累計折舊增加$60,000。該公 司於 X7 年中購入一新機器設備，成本為$1,000,000，並於該年出售一舊機器設備，出售利益為 $20,000。又知X7 年度的折舊費用為$170,000，則X7 年該公司自出售機器設備所收得的現金為 多少？","$410,000","$470,000","$530,000","$580,000",D
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,6,"甲公司編製年底銀行調節表上的相關金額如下：現金帳上餘額$24,600，銀行存款餘額$23,760， 銀行代收票據$3,600，銀行扣手續費$120，在途存款$11,280，則未兌現支票金額為何？","$5,400","$5,520","$6,960","$14,400",A
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,7,下列項目何者應屬流動負債？甲、積欠特別股股利；乙、應收帳款貸餘；丙、一年內即將到期， 而以償債基金償還之應付票據；丁、應付股票股利：,乙,甲、乙、丁,丙、丁,乙、丙,C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,8,在既定之本益比及股利支付數額下，股利支付率愈高者，表示其股票之市價：,不一定,無影響,愈高,愈低,C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,9,如果依照產品生命週期的概念，在成長期的公司，他們的財務報表比率有何特性？,高的短期作業比率，但低的流動比率,高利潤，但營業活動所產生的現金流量有落後的現象,財務比率接近同業水準,負債低,B
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,10,"乙公司為甲公司持股 80%的子公司，今年現金增資$10,000,000，甲公司以$8,000,000 參與增資 案的 80%，其他的20%則向非控制股東募得$2,000,000。試問在合併的現金流量表中，該項交 易為於何種活動之現金流量，其金額為何？","屬投資活動，現金流出$8,000,000","屬投資活動，現金流入$2,000,000","屬籌資活動，現金流入$2,000,000","屬籌資活動，現金流入$10,000,000",A
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,11,"甲公司以寄銷方式委請乙公司代售商品，其售價為成本加計 25%，X3 年12 月29 日甲公司將一 批寄銷品運送給乙公司，並立即認列銷貨收入$180,000，且未將該批商品列入X3 年期末存貨。 若乙公司於 X4 年1 月6 日始將該批商品出售，則下列有關甲公司 X3 年度財務報表之敘述何者 正確？","應收帳款高估$180,000；期末存貨低估$135,000；稅前淨利高估$45,000","銷貨收入高估$180,000；期末存貨低估$144,000；稅前淨利高估$36,000","應收帳款高估$180,000；期末存貨高估$135,000","期末存貨與稅前淨利皆低估$150,000",C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,12,道爾公司於 20X5 年追溯適用新會計政策，請問公司於出具 20X5 年度財務報表時，列報比較資 訊之綜合損益表期間為何？,20X5 年度即可,20X5 年度及20X4年度,20X5 年度、20X4 年度及 20X3 年度,由公司管理階層自行決定,C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,13,下列關於每股盈餘之敘述何者不正確？,每股盈餘之揭露，在顯示對母公司普通股權益持有人而言，每股普通股得分享之本期損益數,基本每股盈餘之計算為將歸屬於母公司業主之本期損益扣除特別股之股利、清償特別股之差,稀釋每股盈餘則為考慮稀釋性潛在普通股影響後之每股盈餘，亦即將可轉換金融工具、選擇,目前每股盈餘僅表達母公司權益持有人每股普通股得分享之綜合損益數,B
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,14,下列屬於流動資產的有幾項？ ①因交易目的而持有的債券，該債券之到期日在 12 個月以上 ②某企業營業週期長於 1 年，將於正常營業週期中變現的與營業相關資產 ③用來償還 10 年期公司債的償債基金，該公司債即將於 6 個月內到期 ④銀行存款中貸款合約要求的借款回存，該貸款於2 年後償還,一項,二項,三項,四項,C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,15,"公司 7 月底編製之銀行調節表所附之金額有：公司帳面餘額$47,000，銀行結單餘額$56,000，7 月份銀行扣收手續費$900，未兌現支票$15,000，在途存款$9,000，另7 月份銀行有代收票據， 其金額應為多少？","$3,900","$4,800","$6,200","$14,100",D
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,16,"甲公司 X3 年進貨$750,000，進貨折扣$9,500，進貨運費$12,000，期末存貨$47,500。當年銷貨 收入$880,000，銷貨折扣$25,000，銷貨運費$30,000。若銷貨毛利率為 12%，試問甲公司 X3 年期初存貨為多少？","$21,000","$22,000","$46,400","$47,400",A
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,17,下列何者最不可能屬於不動產、廠房及設備成本要素之一部分？,購買價格所包含之進口關稅,場地整理成本,重新配置資產所發生之成本,安裝及組裝成本,D
